order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,390,160,Guntur Idli,2024-12-09,02:27:51,Delivered,2463.81
2,308,162,Chilli Chicken,2024-08-08,21:38:10,On the way,1601.88
3,297,109,Poori Masala,2024-07-06,15:09:17,Delivered,651.26
4,205,147,Filter Coffee,2024-01-09,00:52:20,Delivered,3456.12
5,138,103,Fries,2025-04-23,14:24:48,Delivered,3945.84
6,317,186,Paper Roast Dosa,2025-07-23,10:31:36,Preparing,3942.76
7,472,104,Rava Idli,2025-02-07,16:31:43,Cancelled,2573.45
8,239,171,Chicken Biryani,2024-04-09,09:24:53,Delivered,499.89
9,222,128,Mutton Korma,2024-04-04,10:11:41,Delivered,2142.31
10,147,177,Chicken Tikka Roll,2025-04-15,01:36:55,Delivered,706.64
11,49,193,Special Chicken Biryani,2024-03-25,19:11:37,Delivered,2146.43
12,148,105,Mutton Korma,2024-08-19,14:34:34,Cancelled,3691.46
13,268,162,Mutton Korma,2025-06-17,23:46:18,Cancelled,118.4
14,440,159,Tandoori Chicken,2025-09-13,17:40:25,On the way,1024.85
15,323,196,Guntur Idli,2025-07-16,04:49:37,Delivered,1186.77
16,500,137,Tandoori Paneer Burger,2025-04-02,18:41:24,Delivered,1573.54
17,108,103,Chicken Biryani,2024-02-26,16:50:13,Delivered,2831.76
18,191,151,Bisi Bele Bath,2024-01-05,13:53:43,Delivered,896.55
19,396,153,Poori Masala,2025-04-26,00:24:30,Delivered,1783.78
20,106,162,Pongal,2024-01-22,16:17:30,Delivered,3735.99
21,426,130,Grill Chicken,2025-09-28,17:36:10,Delivered,3867.05
22,470,131,Grill Chicken,2025-09-23,12:24:17,Delivered,3969.98
23,123,124,Veg Biryani,2025-09-24,07:25:45,Delivered,3090.75
24,114,149,Butter Chicken,2024-01-26,14:20:15,Delivered,3783.34
25,280,103,Peri Peri Burger,2024-04-10,14:35:39,Preparing,3033.47
26,499,108,Chicken Biryani,2025-09-15,23:32:18,Delivered,2853.65
27,103,165,Seekh Kebab,2024-10-02,02:25:19,Delivered,2102.56
28,198,173,Upma,2025-01-18,10:45:14,Delivered,398.45
29,389,120,Family Combo,2025-03-23,17:58:06,Cancelled,871.49
30,466,193,Mutton Samosa,2025-08-25,08:13:05,Delivered,3335.71
31,65,142,All American Burger,2024-02-24,12:27:53,Delivered,1467.68
32,85,190,Butter Chicken,2025-04-05,01:28:55,Delivered,1202.85
33,136,130,Filter Coffee,2024-07-28,12:52:03,Delivered,550.76
34,145,187,Pongal,2024-08-19,18:55:08,On the way,1084.19
35,141,186,Tandoori Paneer Burger,2025-09-16,22:35:21,Delivered,3328.45
36,389,170,Butter Chicken,2025-07-17,06:27:53,Delivered,3737.39
37,468,157,Chilli Chicken,2024-02-28,08:35:15,Delivered,3850.12
38,468,123,Poori Masala,2024-12-18,13:26:08,Delivered,3906.56
39,3,197,All American Burger,2024-01-20,15:12:45,Delivered,2173.88
40,425,189,Mutton Korma,2025-09-02,10:45:30,Delivered,3111.57
41,272,128,Bisi Bele Bath,2025-04-13,15:11:57,Cancelled,2877.91
42,268,120,Fish Biryani,2024-09-14,05:01:56,Cancelled,881.08
43,49,105,Masala Dosa,2025-04-14,08:50:26,Delivered,3345.21
44,456,132,Grill Chicken,2025-05-01,14:54:06,Delivered,3029.33
45,98,138,Mango Lassi,2025-04-24,13:25:35,Cancelled,813.72
46,451,170,Baida Roti,2024-10-10,12:28:10,Delivered,2235.77
47,316,183,Family Combo,2024-07-20,13:38:14,Delivered,1903.69
48,429,140,Ferrero Rocher Shake,2024-04-16,09:55:18,Cancelled,1407.38
49,233,188,Fish Biryani,2024-10-22,04:24:22,Delivered,290.5
50,103,116,Special Chicken Biryani,2025-06-03,08:36:01,Preparing,840.02
51,375,119,Chicken Biryani,2024-05-21,09:40:12,Delivered,608.21
52,26,142,Mutton Samosa,2024-07-14,18:50:46,Delivered,1875.21
53,210,156,Steam Dosa,2024-09-18,22:18:31,Cancelled,1118.6
54,202,175,Filter Coffee,2025-08-11,04:10:35,Delivered,2406.16
55,151,149,Special Chicken Biryani,2024-07-28,03:25:36,Delivered,1967.29
56,317,187,Mutton Biryani,2024-09-26,18:02:25,Delivered,2199.76
57,247,143,Guntur Idli,2025-09-06,04:30:31,On the way,3013.55
58,49,106,Mutton Seekh Roll,2024-12-26,09:09:41,Delivered,940.53
59,347,127,Mutton Samosa,2025-09-26,03:48:29,Delivered,1216.53
60,69,118,Upma,2025-06-12,08:23:03,Delivered,3938.11
61,122,174,"Parotta, Salna",2025-07-05,19:41:26,Delivered,167.99
62,189,155,Paper Roast Dosa,2024-08-28,02:20:21,Delivered,3712.38
63,201,156,Masala Dosa,2025-03-04,22:04:27,Delivered,2046.23
64,457,124,Veg Biryani,2024-11-14,03:17:03,Delivered,1116.39
65,483,115,"Dal Makhani, Naan",2024-11-29,12:05:16,Cancelled,3721.55
66,403,168,Chelo Kebab,2025-02-19,23:19:22,Delivered,3577.46
67,438,173,Mutton Samosa,2024-05-08,03:02:22,Delivered,2632.05
68,1,131,Double Masala Biryani,2024-08-23,13:47:25,Delivered,1842.82
69,5,142,Bisi Bele Bath,2025-04-14,02:10:10,Delivered,631.58
70,352,114,"Dal Makhani, Naan",2025-05-04,10:00:32,Cancelled,2695.68
71,148,171,Steam Dosa,2025-08-27,04:15:53,Delivered,3833.81
72,89,190,Fish Biryani,2024-08-29,21:08:21,On the way,1272.01
73,259,175,Upma,2024-07-24,21:33:38,Delivered,2337.59
74,88,139,Fish Biryani,2025-02-11,00:39:49,Delivered,680.59
75,140,101,Chicken Tikka Roll,2025-05-25,11:07:11,Delivered,2488.64
